genre_ids,original_language,original_title,overview,popularity,poster_path,vote_average,title
"[18, 80]",en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",163.449,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,8.708,The Shawshank Redemption
"[18, 80]",en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",185.155,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,8.7,The Godfather
"[18, 80]",en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",107.537,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,8.57,The Godfather Part II
"[18, 36, 10752]",en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,110.792,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,8.567,Schindler's List
[18],en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",60.907,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,8.547,12 Angry Men
"[16, 10751, 14]",ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",99.651,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,8.537,Spirited Away
"[35, 18, 10749]",hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",32.726,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,8.521,Dilwale Dulhania Le Jayenge
"[18, 28, 80, 53]",en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",131.073,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,8.519,The Dark Knight
"[14, 18, 80]",en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",88.381,/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg,8.5,The Green Mile
"[35, 53, 18]",ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",115.195,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,8.5,Parasite
"[53, 80]",en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",136.965,/jYqKxBbAUdfKq3BfHKivJytFiPL.jpg,8.5,Pulp Fiction
"[16, 10749, 18]",ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",79.76,/q719jXXEzOoYaps6babgKnONONX.jpg,8.488,Your Name.
"[12, 14, 28]",en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",145.949,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,8.5,The Lord of the Rings: The Return of the King
"[35, 18, 10749]",en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",107.378,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,8.5,Forrest Gump
[37],it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",78.448,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,8.462,"The Good, the Bad and the Ugly"
"[18, 80]",en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",66.149,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,8.457,GoodFellas
"[28, 18]",ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",38.653,/ApdijpVm1GNV9BQMOsGcAXq4gEB.jpg,8.457,Seven Samurai
"[12, 18, 878]",en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,293.483,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,8.5,Interstellar
"[16, 18, 10752]",ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.049,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,8.45,Grave of the Fireflies
"[35, 18]",it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,53.297,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,8.447,Life Is Beautiful
"[18, 10749]",it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",32.721,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,8.4,Cinema Paradiso
[18],en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",114.938,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,8.4,Fight Club
"[18, 80]",pt,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",41.91,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,8.426,City of God
